Curso;Unidade Curricular;Turno;Turma;Inscritos no turno;Dia da semana;Hora início da aula;Hora fim da aula;Data da aula;Características da sala pedida para a aula;Sala atribuída à aula
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;FRIDAY;13:00;14:30;2022-12-02;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;THURSDAY;13:00;14:30;2022-11-23;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;THURSDAY;13:00;14:30;2022-11-16;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;THURSDAY;13:00;14:30;2022-11-09;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;THURSDAY;13:00;14:30;2022-11-02;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;MONDAY;13:00;14:30;2022-11-28;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;MONDAY;13:00;14:30;2022-11-21;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;MONDAY;13:00;14:30;2022-11-14;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;MONDAY;13:00;14:30;2022-11-07;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;TUESDAY;19:00;21:00;2022-06-18;Arq 3;AA2.25
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;TUESDAY;13:00;14:30;2022-11-22;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;THURSDAY;08:00;10:00;2022-06-01;Laboratório de Redes de Computadores I;AA2.25
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;TUESDAY;13:00;14:30;2022-11-08;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;FRIDAY;10:30;12:00;2022-11-04;Sala Aulas Mestrado;AA2.26
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;FRIDAY;12:00;13:30;2022-11-04;Sala Aulas Mestrado;AA2.26
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;FRIDAY;14:30;16:00;2022-12-02;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;MONDAY;14:30;16:00;2022-11-28;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;MONDAY;14:30;16:00;2022-11-21;Sala Aulas Mestrado;AA2.25
